Date,Metal,Industry,State,Region,Price,Demand_Index,Supply_Index,Dependency,Impact_Score,Volatility,Primary_Metal,Demand_Category,Price_Trend
2023-04-26,Platinum,Energy,Jharkhand,East,5028.48,47.64,106.14,0.5,2492.36,0.0457,0,Low,Rising
2023-04-26,Platinum,Jewelry,Himachal Pradesh,North,5664.25,76.52,144.08,0.85,4814.61,0.0598,0,Medium,Rising
2023-04-26,Lithium,Construction,Sikkim,Northeast,7736.44,32.03,90.64,0.42,3224.04,0.057,0,Low,Rising
2023-04-26,Nickel,Automobile,Chandigarh,North,2562.62,84.14,142.05,0.5,1281.31,0.0916,0,Low,Rising
2023-04-26,Silver,Jewelry,Kerala,South,103.39,100.33,141.66,0.9,93.06,0.1256,1,High,Rising
2023-04-26,Platinum,Construction,Ladakh,North,5492.35,36.26,89.05,0.22,1195.13,0.0177,0,Low,Rising
2023-04-26,Platinum,Jewelry,Goa,West,5496.34,48.91,105.44,0.85,4671.89,0.032,0,Medium,Rising
2023-04-26,Copper,Energy,Jharkhand,East,1074.5,57.8,77.12,0.6,644.7,0.042,0,Low,Rising
2023-04-26,Silver,Construction,Goa,West,93.63,92.95,146.07,0.5,46.44,0.0025,0,Low,Rising
2023-04-26,Gold,Construction,Rajasthan,North,6289.9,44.48,65.05,0.23,1464.38,0.0143,0,Low,Rising
2023-04-26,Nickel,Jewelry,Tamil Nadu,South,2739.28,58.19,132.72,0.42,1140.62,0.0065,0,Low,Rising
2023-04-26,Nickel,Construction,Uttar Pradesh,North,2741.38,23.86,74.8,0.24,663.92,0.0252,0,Low,Rising
2023-04-26,Copper,Electronics,Puducherry,South,998.58,145.7,134.89,0.9,898.72,0.1166,1,High,Rising
2023-04-26,Copper,Jewelry,Karnataka,South,1095.55,45.16,111.94,0.26,280.6,0.0011,0,Low,Rising
2023-04-26,Silver,Electronics,Kerala,South,99.33,74.28,64.79,0.75,74.5,0.0598,0,Medium,Rising
2023-04-26,Aluminum,Construction,West Bengal,East,211.81,133.02,53.88,0.85,180.04,0.0288,0,Medium,Rising
2023-04-26,Platinum,Construction,West Bengal,East,5306.53,27.71,114.75,0.27,1436.12,0.0252,0,Low,Rising
2023-04-26,Platinum,Construction,Chhattisgarh,Central,5273.77,15.01,82.54,0.27,1398.37,0.0033,0,Low,Rising
2023-04-26,Copper,Automobile,Chandigarh,North,1098.52,60.47,110.62,0.6,659.11,0.0177,0,Low,Rising
2023-04-26,Aluminum,Construction,Bihar,East,204.5,131.81,68.12,0.85,173.83,0.0661,0,Medium,Rising
2023-04-26,Gold,Automobile,Tripura,Northeast,6639.9,69.9,83.62,0.43,2849.6,0.0457,0,Low,Rising
2023-04-26,Platinum,Energy,Lakshadweep,South,5074.22,57.96,136.31,0.42,2131.5,0.0969,0,Low,Rising
2023-04-26,Copper,Energy,Andaman and Nicobar Islands,South,1162.39,82.73,96.16,0.6,697.43,0.0822,0,Low,Rising
2023-04-26,Silver,Automobile,Mizoram,Northeast,99.3,69.38,56.45,0.43,42.55,0.0287,0,Low,Rising
2023-04-26,Aluminum,Automobile,Rajasthan,North,231.23,83.3,104.69,0.7,161.86,0.024,0,Medium,Rising
2023-04-26,Lithium,Energy,Maharashtra,West,6356.67,76.03,63.57,0.95,6038.84,0.0029,1,High,Rising
2023-04-26,Copper,Jewelry,Manipur,Northeast,1111.85,49.52,126.6,0.26,293.88,0.0049,0,Low,Rising
2023-04-26,Copper,Construction,Karnataka,South,1133.65,72.54,71.48,0.5,566.83,0.0473,0,Low,Rising
2023-04-26,Nickel,Construction,Andaman and Nicobar Islands,South,2689.32,32.01,138.86,0.4,1076.68,0.0258,0,Low,Rising
2023-04-26,Aluminum,Energy,Tamil Nadu,South,223.1,82.33,111.29,0.45,99.93,0.0265,0,Low,Rising
2023-04-26,Steel,Energy,Meghalaya,Northeast,171.68,22.76,107.81,0.45,77.61,0.0292,0,Low,Rising
2023-04-26,Steel,Automobile,Assam,Northeast,141.11,99.62,93.38,0.8,112.89,0.1249,0,Medium,Rising
2023-04-26,Steel,Jewelry,Arunachal Pradesh,Northeast,128.26,16.54,54.0,0.23,29.4,0.0025,0,Low,Rising
2023-04-26,Nickel,Electronics,Goa,West,2575.69,25.43,85.74,0.27,691.39,0.0664,0,Low,Rising
2023-04-26,Aluminum,Jewelry,Mizoram,Northeast,236.07,35.88,102.6,0.21,50.67,0.0146,0,Low,Rising
2023-04-26,Nickel,Energy,Nagaland,Northeast,2707.18,162.19,93.04,0.85,2301.11,0.0477,0,Medium,Rising
2023-04-26,Nickel,Construction,Arunachal Pradesh,Northeast,2820.4,78.83,56.96,0.41,1152.53,0.0242,0,Low,Rising
2023-04-26,Steel,Jewelry,Telangana,South,119.26,55.78,88.36,0.36,43.48,0.0611,0,Low,Rising
2023-04-27,Lithium,Electronics,Rajasthan,North,6301.37,34.61,102.35,0.22,1397.98,0.033,0,Low,Rising
2023-04-27,Gold,Electronics,Meghalaya,Northeast,6853.16,73.43,117.11,0.85,5825.19,0.0883,0,Medium,Rising
2023-04-27,Silver,Energy,Uttar Pradesh,North,96.13,50.74,56.43,0.3,29.1,0.0255,0,Low,Rising
2023-04-27,Copper,Energy,Puducherry,South,1071.16,58.25,123.68,0.6,642.7,0.0265,0,Low,Rising
2023-04-27,Copper,Energy,Maharashtra,West,1139.52,118.39,131.59,0.6,683.71,0.0838,0,Low,Rising
2023-04-27,Copper,Construction,Uttar Pradesh,North,1054.42,26.4,56.36,0.5,527.21,0.0343,0,Low,Rising
2023-04-27,Platinum,Automobile,Chhattisgarh,Central,5234.89,60.03,149.3,0.48,2535.23,0.0045,0,Low,Rising
2023-04-27,Steel,Electronics,Dadra and Nagar Haveli and Daman and Diu,West,121.96,32.46,79.98,0.23,28.37,0.0095,0,Low,Rising
2023-04-27,Gold,Energy,Arunachal Pradesh,Northeast,6296.93,35.77,131.74,0.37,2358.63,0.0177,0,Low,Rising
2023-04-27,Aluminum,Construction,Odisha,East,238.94,75.41,55.89,0.85,203.1,0.1114,0,Medium,Rising
2023-04-27,Platinum,Automobile,Uttarakhand,North,5150.55,69.74,84.18,0.45,2296.41,0.0641,0,Low,Rising
2023-04-27,Aluminum,Construction,Kerala,South,228.78,116.7,114.38,0.85,194.46,0.0029,0,Medium,Rising
2023-04-27,Aluminum,Jewelry,Assam,Northeast,223.21,28.92,146.65,0.42,94.54,0.0448,0,Low,Rising
2023-04-27,Nickel,Electronics,Assam,Northeast,2748.26,52.82,66.31,0.39,1070.78,0.0191,0,Low,Rising
2023-04-27,Platinum,Energy,Goa,West,5241.14,16.15,115.55,0.27,1413.43,0.0292,0,Low,Rising
2023-04-27,Gold,Jewelry,Uttar Pradesh,North,6108.53,136.15,82.5,0.98,5986.36,0.0193,1,High,Rising
2023-04-27,Silver,Jewelry,Mizoram,Northeast,100.57,135.92,117.92,0.9,90.51,0.0511,1,High,Rising
2023-04-27,Lithium,Energy,Andaman and Nicobar Islands,South,6208.89,109.56,127.71,0.95,5898.45,0.0829,1,High,Rising
2023-04-27,Copper,Energy,Bihar,East,1053.29,57.44,120.22,0.6,631.98,0.017,0,Low,Rising
2023-04-27,Steel,Jewelry,Tamil Nadu,South,135.79,31.14,118.37,0.43,58.48,0.1013,0,Low,Rising
2023-04-27,Nickel,Construction,Manipur,Northeast,2872.72,35.82,131.93,0.39,1116.85,0.0599,0,Low,Rising
2023-04-27,Gold,Electronics,Lakshadweep,South,6429.47,148.09,74.01,0.85,5465.05,0.0314,0,Medium,Rising
2023-04-27,Nickel,Jewelry,Himachal Pradesh,North,2762.18,78.48,131.32,0.41,1129.04,0.0413,0,Low,Rising
2023-04-27,Platinum,Jewelry,Gujarat,West,5782.94,104.44,125.86,0.85,4915.5,0.1049,0,Medium,Rising
2023-04-27,Platinum,Electronics,Jammu and Kashmir,North,5439.1,48.78,98.43,0.42,2294.3,0.0066,0,Low,Rising
2023-04-27,Lithium,Construction,Andhra Pradesh,South,6418.24,60.0,144.93,0.36,2301.68,0.0152,0,Low,Rising
2023-04-27,Aluminum,Energy,Dadra and Nagar Haveli and Daman and Diu,West,268.34,66.99,128.11,0.48,127.94,0.0646,0,Low,Rising
2023-04-27,Aluminum,Construction,Uttar Pradesh,North,232.39,89.8,62.93,0.85,197.53,0.0315,0,Medium,Rising
2023-04-27,Lithium,Automobile,Arunachal Pradesh,Northeast,6636.61,34.45,64.87,0.35,2355.62,0.0146,0,Low,Rising
2023-04-27,Steel,Energy,Meghalaya,Northeast,129.36,60.16,95.5,0.3,39.27,0.0149,0,Low,Rising
2023-04-27,Steel,Construction,Lakshadweep,South,115.54,89.16,88.09,0.95,109.76,0.0954,1,High,Rising
2023-04-27,Aluminum,Construction,Meghalaya,Northeast,250.66,48.09,146.6,0.85,213.06,0.0859,0,Medium,Rising
2023-04-27,Aluminum,Jewelry,Puducherry,South,215.67,46.64,71.33,0.43,92.37,0.0607,0,Low,Rising
2023-04-27,Platinum,Automobile,Gujarat,West,5798.17,23.11,91.43,0.21,1209.95,0.1087,0,Low,Rising
2023-04-27,Gold,Automobile,Kerala,South,6001.48,22.4,50.45,0.3,1772.4,0.0517,0,Low,Rising
2023-04-27,Silver,Construction,West Bengal,East,92.91,28.78,94.63,0.25,23.49,0.0349,0,Low,Rising
2023-04-27,Lithium,Energy,Rajasthan,North,6268.08,113.76,98.0,0.95,5954.68,0.0439,1,High,Rising
2023-04-27,Gold,Energy,Chhattisgarh,Central,5927.69,75.03,51.0,0.45,2654.6,0.0196,0,Low,Rising
2023-04-27,Steel,Energy,Meghalaya,Northeast,127.63,50.61,81.59,0.47,59.76,0.0016,0,Low,Rising
2023-04-27,Copper,Electronics,Maharashtra,West,1030.21,50.88,59.15,0.9,927.19,0.0515,1,High,Rising
2023-04-27,Nickel,Energy,Haryana,North,2711.42,44.11,123.38,0.85,2304.7,0.0081,0,Medium,Rising
2023-04-27,Gold,Jewelry,Himachal Pradesh,North,6485.3,57.35,125.74,0.98,6355.6,0.0545,1,High,Rising
2023-04-27,Steel,Jewelry,Uttarakhand,North,120.23,50.35,118.95,0.35,41.73,0.0384,0,Low,Rising
2023-04-28,Steel,Energy,Chhattisgarh,Central,115.03,28.33,114.02,0.37,42.27,0.0533,0,Low,Rising
2023-04-28,Silver,Electronics,Haryana,North,93.28,79.1,105.44,0.75,69.96,0.0188,0,Medium,Rising
2023-04-28,Steel,Construction,Jammu and Kashmir,North,118.37,161.27,120.33,0.95,112.45,0.0547,1,High,Rising
2023-04-28,Silver,Automobile,Ladakh,North,95.64,73.23,139.49,0.45,43.21,0.0197,0,Low,Rising
2023-04-28,Platinum,Energy,Gujarat,West,5380.1,53.94,147.29,0.41,2212.52,0.0073,0,Low,Rising
2023-04-28,Steel,Jewelry,Goa,West,125.94,20.41,111.24,0.38,47.95,0.0318,0,Low,Rising
2023-04-28,Copper,Energy,Assam,Northeast,1075.65,87.27,119.87,0.6,645.39,0.0439,0,Low,Rising
2023-04-28,Aluminum,Jewelry,Dadra and Nagar Haveli and Daman and Diu,West,237.13,36.99,120.25,0.25,59.27,0.068,0,Low,Rising
2023-04-28,Gold,Automobile,Madhya Pradesh,Central,6185.25,73.62,105.51,0.48,2985.81,0.0344,0,Low,Rising
2023-04-28,Aluminum,Automobile,Meghalaya,Northeast,230.12,83.85,94.34,0.7,161.09,0.01,0,Medium,Rising
2023-04-28,Lithium,Electronics,Madhya Pradesh,Central,6335.38,39.33,108.98,0.5,3137.55,0.0436,0,Low,Rising
2023-04-28,Copper,Electronics,Andhra Pradesh,South,1059.5,83.28,134.38,0.9,953.55,0.0387,1,High,Rising
2023-04-28,Aluminum,Energy,Jammu and Kashmir,North,230.59,44.05,118.59,0.27,62.04,0.0245,0,Low,Rising
2023-04-28,Gold,Jewelry,Gujarat,West,6129.51,148.32,86.12,0.98,6006.92,0.0014,1,High,Rising
2023-04-28,Gold,Jewelry,Nagaland,Northeast,6500.43,162.43,137.2,0.98,6370.42,0.023,1,High,Rising
2023-04-28,Aluminum,Electronics,Delhi,North,220.55,74.03,54.99,0.44,96.72,0.0247,0,Low,Rising
2023-04-28,Nickel,Electronics,Chandigarh,North,2751.66,34.76,53.11,0.29,805.04,0.0368,0,Low,Rising
2023-04-28,Silver,Electronics,Meghalaya,Northeast,110.88,88.92,81.81,0.75,83.16,0.0593,0,Medium,Rising
2023-04-28,Nickel,Jewelry,Assam,Northeast,2884.23,74.54,147.86,0.44,1276.45,0.0696,0,Low,Rising
2023-04-28,Nickel,Jewelry,Gujarat,West,2559.09,27.31,88.43,0.2,520.0,0.0725,0,Low,Rising
2023-04-28,Platinum,Automobile,Andhra Pradesh,South,5563.39,47.35,102.15,0.3,1653.12,0.0259,0,Low,Rising
2023-04-28,Silver,Electronics,West Bengal,East,90.78,47.25,137.05,0.75,68.08,0.0008,0,Medium,Rising
2023-04-28,Gold,Jewelry,Meghalaya,Northeast,6298.85,72.69,103.58,0.98,6172.88,0.0154,1,High,Rising
2023-04-28,Lithium,Energy,Kerala,South,6551.73,102.62,76.02,0.95,6224.15,0.0307,1,High,Rising
2023-04-28,Nickel,Construction,Dadra and Nagar Haveli and Daman and Diu,West,2694.9,15.64,117.81,0.24,638.46,0.0172,0,Low,Rising
2023-04-28,Nickel,Automobile,Meghalaya,Northeast,2752.93,59.8,99.6,0.5,1376.46,0.0138,0,Low,Rising
2023-04-28,Copper,Electronics,Andaman and Nicobar Islands,South,1065.0,45.96,76.28,0.9,958.5,0.032,1,High,Rising
2023-04-28,Aluminum,Automobile,Sikkim,Northeast,221.23,99.35,132.66,0.7,154.86,0.0524,0,Medium,Rising
2023-04-28,Nickel,Automobile,Nagaland,Northeast,2934.85,97.34,114.27,0.5,1467.42,0.1017,0,Low,Rising
2023-04-28,Platinum,Jewelry,Dadra and Nagar Haveli and Daman and Diu,West,6394.76,124.39,134.79,0.85,5435.55,0.0328,0,Medium,Rising
2023-04-28,Copper,Jewelry,Uttarakhand,North,1098.3,25.51,79.15,0.45,489.85,0.0215,0,Low,Rising
2023-04-28,Steel,Jewelry,Kerala,South,131.26,35.27,59.33,0.27,35.45,0.0592,0,Low,Rising
2023-04-28,Gold,Jewelry,Odisha,East,5942.47,108.47,112.03,0.98,5823.62,0.0024,1,High,Rising
2023-04-28,Silver,Automobile,Lakshadweep,South,98.35,45.06,130.05,0.39,38.79,0.0484,0,Low,Rising
2023-04-28,Steel,Automobile,Arunachal Pradesh,Northeast,132.4,59.88,125.35,0.8,105.92,0.0458,0,Medium,Rising
2023-04-28,Nickel,Construction,Telangana,South,2738.56,51.57,76.05,0.29,792.96,0.0109,0,Low,Rising
2023-04-28,Gold,Construction,Puducherry,South,5902.68,54.47,97.85,0.4,2380.63,0.069,0,Low,Rising
2023-04-28,Gold,Energy,Assam,Northeast,6185.91,27.41,66.87,0.47,2903.43,0.0369,0,Low,Rising
2023-04-28,Gold,Energy,Sikkim,Northeast,6476.98,67.9,100.86,0.34,2228.01,0.0186,0,Low,Rising
2023-04-28,Aluminum,Electronics,Himachal Pradesh,North,222.56,66.54,88.11,0.4,88.99,0.0149,0,Low,Rising
2023-04-28,Gold,Construction,Meghalaya,Northeast,6150.56,37.99,68.24,0.48,2939.6,0.0436,0,Low,Rising
2023-04-28,Silver,Jewelry,Delhi,North,96.67,89.41,60.86,0.9,87.01,0.0366,1,High,Rising
2023-04-28,Platinum,Jewelry,Haryana,North,5319.41,58.48,53.33,0.85,4521.5,0.0207,0,Medium,Rising
2023-04-29,Copper,Construction,Andhra Pradesh,South,1085.2,87.32,72.44,0.5,542.6,0.0054,0,Low,Rising
2023-04-29,Aluminum,Jewelry,Jharkhand,East,214.97,74.1,88.88,0.38,82.37,0.0073,0,Low,Rising
2023-04-29,Aluminum,Construction,Andhra Pradesh,South,215.55,48.3,98.35,0.85,183.22,0.0577,0,Medium,Rising
2023-04-29,Copper,Jewelry,Puducherry,South,1143.75,79.1,56.56,0.41,469.16,0.0656,0,Low,Rising
2023-04-29,Lithium,Electronics,Tripura,Northeast,6718.49,55.66,131.02,0.36,2417.19,0.046,0,Low,Rising
2023-04-29,Gold,Construction,Andaman and Nicobar Islands,South,5974.53,22.97,66.1,0.23,1349.61,0.0531,0,Low,Rising
2023-04-29,Steel,Jewelry,Haryana,North,122.69,61.46,73.42,0.31,37.79,0.0104,0,Low,Rising
2023-04-29,Gold,Energy,Rajasthan,North,6102.84,28.94,72.18,0.36,2226.56,0.0166,0,Low,Rising
2023-04-29,Aluminum,Jewelry,Andaman and Nicobar Islands,South,216.72,62.01,60.84,0.37,80.93,0.052,0,Low,Rising
2023-04-29,Nickel,Construction,Andaman and Nicobar Islands,South,2644.35,42.61,103.97,0.37,972.73,0.0477,0,Low,Rising
2023-04-29,Steel,Construction,Delhi,North,126.53,79.33,128.98,0.95,120.21,0.0273,1,High,Rising
2023-04-29,Silver,Automobile,Ladakh,North,91.58,48.22,123.34,0.47,42.79,0.0445,0,Low,Rising
2023-04-29,Aluminum,Electronics,Lakshadweep,South,231.22,22.26,132.02,0.4,93.19,0.0184,0,Low,Rising
2023-04-29,Lithium,Electronics,Nagaland,Northeast,6606.06,27.13,129.91,0.27,1805.91,0.0103,0,Low,Rising
2023-04-29,Copper,Jewelry,West Bengal,East,1009.31,13.62,56.09,0.24,245.72,0.0351,0,Low,Rising
2023-04-29,Platinum,Construction,Uttarakhand,North,5394.11,30.51,114.11,0.45,2417.25,0.0004,0,Low,Rising
2023-04-29,Platinum,Jewelry,Tamil Nadu,South,5351.62,124.81,92.22,0.85,4548.87,0.0235,0,Medium,Rising
2023-04-29,Steel,Electronics,Haryana,North,122.57,71.05,68.44,0.46,55.85,0.0116,0,Low,Rising
2023-04-29,Nickel,Construction,Punjab,North,2601.96,28.44,124.88,0.31,797.81,0.0586,0,Low,Rising
2023-04-29,Lithium,Electronics,Tamil Nadu,South,6428.14,41.32,96.12,0.44,2838.73,0.0065,0,Low,Rising
2023-04-29,Silver,Electronics,Kerala,South,92.12,40.21,60.76,0.75,69.09,0.0503,0,Medium,Rising
2023-04-29,Platinum,Automobile,Dadra and Nagar Haveli and Daman and Diu,West,4753.97,40.24,134.01,0.24,1155.55,0.1457,0,Low,Rising
2023-04-29,Lithium,Electronics,Tripura,Northeast,6462.99,19.88,54.04,0.23,1510.84,0.0351,0,Low,Rising
2023-04-29,Nickel,Jewelry,Karnataka,South,2702.64,57.47,136.9,0.35,943.28,0.01,0,Low,Rising
2023-04-29,Aluminum,Construction,Punjab,North,224.39,52.61,78.16,0.85,190.73,0.0041,0,Medium,Rising
2023-04-29,Copper,Energy,West Bengal,East,1047.48,116.14,105.94,0.6,628.49,0.0136,0,Low,Rising
2023-04-29,Nickel,Construction,Odisha,East,2593.9,66.82,131.01,0.35,908.22,0.0053,0,Low,Rising
2023-04-29,Nickel,Electronics,Puducherry,South,2694.34,65.56,145.35,0.35,949.08,0.0153,0,Low,Rising
2023-04-29,Nickel,Construction,Kerala,South,2459.97,83.83,56.43,0.42,1034.97,0.0112,0,Low,Rising
2023-04-29,Silver,Electronics,Assam,Northeast,93.36,84.98,142.64,0.75,70.02,0.0589,0,Medium,Rising
2023-04-29,Steel,Automobile,Rajasthan,North,122.66,79.14,88.08,0.8,98.13,0.0107,0,Medium,Rising
2023-04-29,Copper,Jewelry,Meghalaya,Northeast,1123.41,43.13,96.88,0.44,494.87,0.015,0,Low,Rising
2023-04-29,Gold,Energy,Tamil Nadu,South,6227.65,32.3,71.28,0.28,1725.64,0.004,0,Low,Rising
2023-04-29,Silver,Energy,Andaman and Nicobar Islands,South,92.43,32.14,58.78,0.34,31.65,0.0452,0,Low,Rising
2023-04-29,Copper,Jewelry,Punjab,North,1055.97,38.29,79.95,0.23,244.11,0.0284,0,Low,Rising
2023-04-29,Copper,Jewelry,Lakshadweep,South,1112.51,58.73,106.43,0.38,417.23,0.0277,0,Low,Rising
2023-04-29,Aluminum,Electronics,Nagaland,Northeast,239.71,51.79,87.71,0.38,91.88,0.0375,0,Low,Rising
2023-04-29,Nickel,Electronics,Bihar,East,2681.89,26.88,87.54,0.25,667.52,0.0652,0,Low,Rising
2023-04-29,Copper,Electronics,Sikkim,Northeast,1116.98,152.83,75.65,0.9,1005.28,0.0073,1,High,Rising
2023-04-29,Silver,Electronics,Punjab,North,94.64,101.77,65.73,0.75,70.98,0.0055,0,Medium,Rising
2023-04-29,Copper,Automobile,Jharkhand,East,1026.14,105.34,112.8,0.6,615.68,0.0136,0,Low,Rising
2023-04-29,Aluminum,Energy,Manipur,Northeast,238.07,16.87,58.63,0.24,56.84,0.0297,0,Low,Rising
